symbol,date,price
Chancery Lane,Jan 0200,0
Chancery Lane,Jan 0215,0
Chancery Lane,Jan 0230,0
Chancery Lane,Jan 0245,0
Chancery Lane,Jan 0300,0
Chancery Lane,Jan 0315,0
Chancery Lane,Jan 0330,0
Chancery Lane,Jan 0345,0
Chancery Lane,Jan 0400,0
Chancery Lane,Jan 0415,0
Chancery Lane,Jan 0430,0
Chancery Lane,Jan 0445,0
Chancery Lane,Jan 0500,0
Chancery Lane,Jan 0515,0
Chancery Lane,Jan 0530,5
Chancery Lane,Jan 0545,9
Chancery Lane,Jan 0600,12
Chancery Lane,Jan 0615,15
Chancery Lane,Jan 0630,22
Chancery Lane,Jan 0645,31
Chancery Lane,Jan 0700,38
Chancery Lane,Jan 0715,45
Chancery Lane,Jan 0730,52
Chancery Lane,Jan 0745,64
Chancery Lane,Jan 0800,77
Chancery Lane,Jan 0815,93
Chancery Lane,Jan 0830,103
Chancery Lane,Jan 0845,110
Chancery Lane,Jan 0900,116
Chancery Lane,Jan 0915,133
Chancery Lane,Jan 0930,138
Chancery Lane,Jan 0945,133
Chancery Lane,Jan 1000,132
Chancery Lane,Jan 1015,154
Chancery Lane,Jan 1030,168
Chancery Lane,Jan 1045,180
Chancery Lane,Jan 1100,189
Chancery Lane,Jan 1115,213
Chancery Lane,Jan 1130,232
Chancery Lane,Jan 1145,282
Chancery Lane,Jan 1200,326
Chancery Lane,Jan 1215,362
Chancery Lane,Jan 1230,361
Chancery Lane,Jan 1245,379
Chancery Lane,Jan 1300,387
Chancery Lane,Jan 1315,386
Chancery Lane,Jan 1330,357
Chancery Lane,Jan 1345,349
Chancery Lane,Jan 1400,350
Chancery Lane,Jan 1415,358
Chancery Lane,Jan 1430,355
Chancery Lane,Jan 1445,378
Chancery Lane,Jan 1500,402
Chancery Lane,Jan 1515,437
Chancery Lane,Jan 1530,454
Chancery Lane,Jan 1545,544
Chancery Lane,Jan 1600,613
Chancery Lane,Jan 1615,756
Chancery Lane,Jan 1630,824
Chancery Lane,Jan 1645,1056
Chancery Lane,Jan 1700,1143
Chancery Lane,Jan 1715,1380
Chancery Lane,Jan 1730,1441
Chancery Lane,Jan 1745,1538
Chancery Lane,Jan 1800,1370
Chancery Lane,Jan 1815,1226
Chancery Lane,Jan 1830,996
Chancery Lane,Jan 1845,836
Chancery Lane,Jan 1900,683
Chancery Lane,Jan 1915,565
Chancery Lane,Jan 1930,452
Chancery Lane,Jan 1945,383
Chancery Lane,Jan 2000,326
Chancery Lane,Jan 2015,299
Chancery Lane,Jan 2030,274
Chancery Lane,Jan 2045,262
Chancery Lane,Jan 2100,237
Chancery Lane,Jan 2115,225
Chancery Lane,Jan 2130,214
Chancery Lane,Jan 2145,197
Chancery Lane,Jan 2200,162
Chancery Lane,Jan 2215,140
Chancery Lane,Jan 2230,126
Chancery Lane,Jan 2245,120
Chancery Lane,Jan 2300,123
Chancery Lane,Jan 2315,126
Chancery Lane,Jan 2330,109
Chancery Lane,Jan 2345,81
Chancery Lane,Jan 2400,57
Chancery Lane,Jan 2415,30
Chancery Lane,Jan 2430,7
Chancery Lane,Jan 2445,0
Chancery Lane,Jan 2500,0
Chancery Lane,Jan 2515,0
Chancery Lane,Jan 2530,0
Chancery Lane,Jan 2545,0
Holborn,Jan 0200,0
Holborn,Jan 0215,0
Holborn,Jan 0230,0
Holborn,Jan 0245,0
Holborn,Jan 0300,0
Holborn,Jan 0315,0
Holborn,Jan 0330,0
Holborn,Jan 0345,0
Holborn,Jan 0400,0
Holborn,Jan 0415,0
Holborn,Jan 0430,0
Holborn,Jan 0445,0
Holborn,Jan 0500,0
Holborn,Jan 0515,9
